No,tanggal,hari,bulan,tahun,barang,nopol,netto_kg,kabkot_supplier,jenis_kendaraan_supplier
69,29/12/2023,29,12,2023,Sampah,aa 9530 kh,2060,Kabupaten Magelang,Kendaraan Khusus
73,29/12/2023,29,12,2023,Sampah,aa 9538 ha,3910,Kota Magelang,Kendaraan Khusus
82,29/12/2023,29,12,2023,Sampah,aa 9569 ga,670,Kabupaten Magelang,Kendaraan Khusus
83,29/12/2023,29,12,2023,Sampah,aa 9537 ha,920,Kota Magelang,Kendaraan Khusus
91,28/12/2023,28,12,2023,Sampah,aa 9580 fa,560,Kabupaten Wonosobo,Kendaraan Khusus
92,28/12/2023,28,12,2023,Sampah,aa 9569 ga,880,Kabupaten Magelang,Kendaraan Khusus
95,28/12/2023,28,12,2023,Sampah,aa 9574 fa,390,Kabupaten Wonosobo,Kendaraan Khusus
97,28/12/2023,28,12,2023,Sampah,aa 9579 fa,780,Kabupaten Wonosobo,Kendaraan Khusus
100,28/12/2023,28,12,2023,Sampah,aa 9848 da,290,Kabupaten Kebumen,Kendaraan Khusus
102,28/12/2023,28,12,2023,Sampah,aa 9532 da,470,Kabupaten Kebumen,Kendaraan Khusus
104,28/12/2023,28,12,2023,Sampah,aa 9538 ha,3870,Kota Magelang,Kendaraan Khusus
113,27/12/2023,27,12,2023,Sampah,aa 9847 da,230,Kabupaten Kebumen,Kendaraan Khusus
114,27/12/2023,27,12,2023,Sampah,aa 9846 da,250,Kabupaten Kebumen,Kendaraan Khusus
115,27/12/2023,27,12,2023,Sampah,aa 9574 fa,440,Kabupaten Wonosobo,Kendaraan Khusus
116,27/12/2023,27,12,2023,Sampah,aa 9577 fa,1300,Kabupaten Wonosobo,Kendaraan Khusus
119,27/12/2023,27,12,2023,Sampah,aa 9580 fa,910,Kabupaten Wonosobo,Kendaraan Khusus
120,27/12/2023,27,12,2023,Sampah,aa 9569 ga,810,Kabupaten Magelang,Kendaraan Khusus
121,27/12/2023,27,12,2023,Sampah,aa 1734 ah,140,Kota Magelang,Mobil Pribadi
123,27/12/2023,27,12,2023,Sampah,aa 1737 jh,545,Kabupaten Kebumen,Mobil Pribadi
124,27/12/2023,27,12,2023,Sampah,aa 9537 ha,760,Kota Magelang,Kendaraan Khusus
125,27/12/2023,27,12,2023,Sampah,aa 9578 fa,1750,Kabupaten Wonosobo,Kendaraan Khusus
128,27/12/2023,27,12,2023,Sampah,aa 9574 fa,1250,Kabupaten Wonosobo,Kendaraan Khusus
130,27/12/2023,27,12,2023,Sampah,aa 9530 kh,1840,Kabupaten Magelang,Kendaraan Khusus
131,27/12/2023,27,12,2023,Sampah,aa 9577 fa,680,Kabupaten Wonosobo,Kendaraan Khusus
132,27/12/2023,27,12,2023,Sampah,aa 9568 fa,1070,Kabupaten Wonosobo,Kendaraan Khusus
134,27/12/2023,27,12,2023,Sampah,aa 9664 da,680,Kabupaten Kebumen,Kendaraan Khusus
137,27/12/2023,27,12,2023,Sampah,aa 9582 fa,800,Kabupaten Wonosobo,Kendaraan Khusus
140,27/12/2023,27,12,2023,Sampah,aa 1734 ah,950,Kota Magelang,Mobil Pribadi
143,27/12/2023,27,12,2023,Sampah,aa 9845 da,190,Kabupaten Kebumen,Kendaraan Khusus
145,27/12/2023,27,12,2023,Sampah,aa 9569 fa,410,Kabupaten Wonosobo,Kendaraan Khusus
147,27/12/2023,27,12,2023,Sampah,aa 9571 fa,1170,Kabupaten Wonosobo,Kendaraan Khusus
148,27/12/2023,27,12,2023,Sampah,aa 9538 ha,4190,Kota Magelang,Kendaraan Khusus
150,27/12/2023,27,12,2023,Sampah,aa 9567 la,1150,Kabupaten Purworejo,Kendaraan Khusus
156,27/12/2023,27,12,2023,Sampah,aa 9829 da,420,Kabupaten Kebumen,Kendaraan Khusus
159,26/12/2023,26,12,2023,Sampah,ab 9699 we,1225,Kabupaten Gunungkidul,Kendaraan Khusus
162,26/12/2023,26,12,2023,Sampah,aa 9574 fa,380,Kabupaten Wonosobo,Kendaraan Khusus
164,26/12/2023,26,12,2023,Sampah,aa 9849 da,210,Kabupaten Kebumen,Kendaraan Khusus
165,26/12/2023,26,12,2023,Sampah,aa 9582 fa,190,Kabupaten Wonosobo,Kendaraan Khusus
166,26/12/2023,26,12,2023,Sampah,aa 9574 fa,360,Kabupaten Wonosobo,Kendaraan Khusus
167,26/12/2023,26,12,2023,Sampah,aa 9577 fa,1630,Kabupaten Wonosobo,Kendaraan Khusus
169,26/12/2023,26,12,2023,Sampah,aa 9578 fa,1650,Kabupaten Wonosobo,Kendaraan Khusus
170,26/12/2023,26,12,2023,Sampah,aa 9530 kh,2080,Kabupaten Magelang,Kendaraan Khusus
172,26/12/2023,26,12,2023,Sampah,aa 9664 da,380,Kabupaten Kebumen,Kendaraan Khusus
174,26/12/2023,26,12,2023,Sampah,aa 9538 ha,3110,Kota Magelang,Kendaraan Khusus
175,26/12/2023,26,12,2023,Sampah,aa 9569 fa,1040,Kabupaten Wonosobo,Kendaraan Khusus
176,26/12/2023,26,12,2023,Sampah,aa 9569 ga,440,Kabupaten Magelang,Kendaraan Khusus
177,26/12/2023,26,12,2023,Sampah,aa 9568 fa,960,Kabupaten Wonosobo,Kendaraan Khusus
179,26/12/2023,26,12,2023,Sampah,aa 9582 fa,980,Kabupaten Wonosobo,Kendaraan Khusus
186,26/12/2023,26,12,2023,Sampah,aa 9845 da,350,Kabupaten Kebumen,Kendaraan Khusus
187,26/12/2023,26,12,2023,Sampah,aa 9571 fa,720,Kabupaten Wonosobo,Kendaraan Khusus
189,26/12/2023,26,12,2023,Sampah,aa 9829 da,410,Kabupaten Kebumen,Kendaraan Khusus
192,25/12/2023,25,12,2023,Sampah,ab 9699 we,1095,Kabupaten Gunungkidul,Kendaraan Khusus
194,25/12/2023,25,12,2023,Sampah,aa 9579 fa,1070,Kabupaten Wonosobo,Kendaraan Khusus
195,25/12/2023,25,12,2023,Sampah,aa 9876 da,310,Kabupaten Kebumen,Kendaraan Khusus
197,25/12/2023,25,12,2023,Sampah,aa 9574 fa,440,Kabupaten Wonosobo,Kendaraan Khusus
199,25/12/2023,25,12,2023,Sampah,aa 9846 da,290,Kabupaten Kebumen,Kendaraan Khusus
202,25/12/2023,25,12,2023,Sampah,aa 9538 ha,1830,Kota Magelang,Kendaraan Khusus
203,25/12/2023,25,12,2023,Sampah,ab 9699 we,1535,Kabupaten Gunungkidul,Kendaraan Khusus
207,25/12/2023,25,12,2023,Sampah,aa 9577 fa,1400,Kabupaten Wonosobo,Kendaraan Khusus
208,25/12/2023,25,12,2023,Sampah,aa 9579 fa,940,Kabupaten Wonosobo,Kendaraan Khusus
209,25/12/2023,25,12,2023,Sampah,aa 9530 kh,1540,Kabupaten Magelang,Kendaraan Khusus
212,25/12/2023,25,12,2023,Sampah,aa 9578 fa,1740,Kabupaten Wonosobo,Kendaraan Khusus
214,25/12/2023,25,12,2023,Sampah,aa 9582 fa,1170,Kabupaten Wonosobo,Kendaraan Khusus
215,25/12/2023,25,12,2023,Sampah,aa 9568 fa,1120,Kabupaten Wonosobo,Kendaraan Khusus
217,25/12/2023,25,12,2023,Sampah,aa 9538 ha,3940,Kota Magelang,Kendaraan Khusus
218,25/12/2023,25,12,2023,Sampah,aa 9569 ga,490,Kabupaten Magelang,Kendaraan Khusus
222,25/12/2023,25,12,2023,Sampah,aa 9530 kh,2490,Kabupaten Magelang,Kendaraan Khusus
224,25/12/2023,25,12,2023,Sampah,aa 9829 da,390,Kabupaten Kebumen,Kendaraan Khusus
230,24/12/2023,24,12,2023,Sampah,ab 9699 we,1645,Kabupaten Gunungkidul,Kendaraan Khusus
234,24/12/2023,24,12,2023,Sampah,aa 9574 fa,400,Kabupaten Wonosobo,Kendaraan Khusus
241,24/12/2023,24,12,2023,Sampah,aa 9849 da,230,Kabupaten Kebumen,Kendaraan Khusus
242,24/12/2023,24,12,2023,Sampah,aa 9847 da,210,Kabupaten Kebumen,Kendaraan Khusus
245,24/12/2023,24,12,2023,Sampah,aa 9549 ha,3520,Kota Magelang,Kendaraan Khusus
247,24/12/2023,24,12,2023,Sampah,aa 9538 ha,3540,Kota Magelang,Kendaraan Khusus
250,24/12/2023,24,12,2023,Sampah,aa 9582 fa,630,Kabupaten Wonosobo,Kendaraan Khusus
252,24/12/2023,24,12,2023,Sampah,aa 9876 da,210,Kabupaten Kebumen,Kendaraan Khusus
258,24/12/2023,24,12,2023,Sampah,aa 9568 fa,550,Kabupaten Wonosobo,Kendaraan Khusus
262,24/12/2023,24,12,2023,Sampah,aa 9569 ga,420,Kabupaten Magelang,Kendaraan Khusus
266,24/12/2023,24,12,2023,Sampah,aa 9580 fa,1070,Kabupaten Wonosobo,Kendaraan Khusus
269,23/12/2023,23,12,2023,Sampah,aa 9574 fa,420,Kabupaten Wonosobo,Kendaraan Khusus
270,23/12/2023,23,12,2023,Sampah,aa 9569 ga,860,Kabupaten Magelang,Kendaraan Khusus
271,23/12/2023,23,12,2023,Sampah,aa 9579 fa,1110,Kabupaten Wonosobo,Kendaraan Khusus
272,23/12/2023,23,12,2023,Sampah,aa 9577 fa,1620,Kabupaten Wonosobo,Kendaraan Khusus
273,23/12/2023,23,12,2023,Sampah,aa 9846 da,280,Kabupaten Kebumen,Kendaraan Khusus
274,23/12/2023,23,12,2023,Sampah,ab 9699 we,1055,Kabupaten Gunungkidul,Kendaraan Khusus
275,23/12/2023,23,12,2023,Sampah,aa 1737 jh,435,Kabupaten Kebumen,Mobil Pribadi
278,23/12/2023,23,12,2023,Sampah,aa 9873 da,330,Kabupaten Kebumen,Kendaraan Khusus
279,23/12/2023,23,12,2023,Sampah,aa 9849 da,280,Kabupaten Kebumen,Kendaraan Khusus
282,23/12/2023,23,12,2023,Sampah,aa 9578 fa,1490,Kabupaten Wonosobo,Kendaraan Khusus
285,23/12/2023,23,12,2023,Sampah,aa 9568 fa,890,Kabupaten Wonosobo,Kendaraan Khusus
293,23/12/2023,23,12,2023,Sampah,aa 9846 da,260,Kabupaten Kebumen,Kendaraan Khusus
294,23/12/2023,23,12,2023,Sampah,aa 9571 fa,800,Kabupaten Wonosobo,Kendaraan Khusus
297,23/12/2023,23,12,2023,Sampah,aa 9549 ha,3340,Kota Magelang,Kendaraan Khusus
298,23/12/2023,23,12,2023,Sampah,aa 9582 fa,800,Kabupaten Wonosobo,Kendaraan Khusus
301,23/12/2023,23,12,2023,Sampah,aa 1734 ah,110,Kota Magelang,Mobil Pribadi
304,23/12/2023,23,12,2023,Sampah,aa 9538 ha,3220,Kota Magelang,Kendaraan Khusus
307,23/12/2023,23,12,2023,Sampah,aa 9848 da,290,Kabupaten Kebumen,Kendaraan Khusus
315,22/12/2023,22,12,2023,Sampah,ab 9699 we,1175,Kabupaten Gunungkidul,Kendaraan Khusus
319,22/12/2023,22,12,2023,Sampah,aa 9574 fa,860,Kabupaten Wonosobo,Kendaraan Khusus
320,22/12/2023,22,12,2023,Sampah,aa 9574 fa,430,Kabupaten Wonosobo,Kendaraan Khusus
321,22/12/2023,22,12,2023,Sampah,aa 9579 fa,1280,Kabupaten Wonosobo,Kendaraan Khusus
322,22/12/2023,22,12,2023,Sampah,aa 9577 fa,1270,Kabupaten Wonosobo,Kendaraan Khusus
324,22/12/2023,22,12,2023,Sampah,aa 1737 jh,505,Kabupaten Kebumen,Mobil Pribadi
325,22/12/2023,22,12,2023,Sampah,aa 9849 da,270,Kabupaten Kebumen,Kendaraan Khusus
326,22/12/2023,22,12,2023,Sampah,aa 9580 fa,560,Kabupaten Wonosobo,Kendaraan Khusus
328,22/12/2023,22,12,2023,Sampah,aa 9578 fa,1510,Kabupaten Wonosobo,Kendaraan Khusus
332,22/12/2023,22,12,2023,Sampah,aa 9847 da,200,Kabupaten Kebumen,Kendaraan Khusus
333,22/12/2023,22,12,2023,Sampah,aa 9846 da,210,Kabupaten Kebumen,Kendaraan Khusus
335,22/12/2023,22,12,2023,Sampah,aa 9569 ga,300,Kabupaten Magelang,Kendaraan Khusus
336,22/12/2023,22,12,2023,Sampah,aa 9536 ha,540,Kota Magelang,Kendaraan Khusus
337,22/12/2023,22,12,2023,Sampah,aa 9873 da,390,Kabupaten Kebumen,Kendaraan Khusus
341,22/12/2023,22,12,2023,Sampah,aa 9848 da,460,Kabupaten Kebumen,Kendaraan Khusus
343,22/12/2023,22,12,2023,Sampah,aa 9582 fa,620,Kabupaten Wonosobo,Kendaraan Khusus
349,22/12/2023,22,12,2023,Sampah,aa 9568 fa,940,Kabupaten Wonosobo,Kendaraan Khusus
350,22/12/2023,22,12,2023,Sampah,aa 9538 ha,3530,Kota Magelang,Kendaraan Khusus
352,22/12/2023,22,12,2023,Sampah,aa 9571 fa,1050,Kabupaten Wonosobo,Kendaraan Khusus
355,22/12/2023,22,12,2023,Sampah,aa 9549 ha,3700,Kota Magelang,Kendaraan Khusus
364,21/12/2023,21,12,2023,Sampah,aa 9580 fa,1200,Kabupaten Wonosobo,Kendaraan Khusus
365,21/12/2023,21,12,2023,Sampah,ab 9699 we,2105,Kabupaten Gunungkidul,Kendaraan Khusus
368,21/12/2023,21,12,2023,Sampah,aa 9574 fa,950,Kabupaten Wonosobo,Kendaraan Khusus
371,21/12/2023,21,12,2023,Sampah,aa 9846 da,180,Kabupaten Kebumen,Kendaraan Khusus
374,21/12/2023,21,12,2023,Sampah,aa 9579 fa,960,Kabupaten Wonosobo,Kendaraan Khusus
377,21/12/2023,21,12,2023,Sampah,aa 9580 fa,610,Kabupaten Wonosobo,Kendaraan Khusus
378,21/12/2023,21,12,2023,Sampah,aa 9577 fa,1200,Kabupaten Wonosobo,Kendaraan Khusus
379,21/12/2023,21,12,2023,Sampah,aa 9536 ha,660,Kota Magelang,Kendaraan Khusus
380,21/12/2023,21,12,2023,Sampah,aa 9578 fa,1460,Kabupaten Wonosobo,Kendaraan Khusus
381,21/12/2023,21,12,2023,Sampah,aa 9537 ha,1190,Kota Magelang,Kendaraan Khusus
383,21/12/2023,21,12,2023,Sampah,aa 9846 da,220,Kabupaten Kebumen,Kendaraan Khusus
393,21/12/2023,21,12,2023,Sampah,aa 9582 fa,700,Kabupaten Wonosobo,Kendaraan Khusus
397,21/12/2023,21,12,2023,Sampah,aa 9568 fa,890,Kabupaten Wonosobo,Kendaraan Khusus
399,21/12/2023,21,12,2023,Sampah,aa 9538 ha,3250,Kota Magelang,Kendaraan Khusus
410,20/12/2023,20,12,2023,Sampah,ab 9699 we,1175,Kabupaten Gunungkidul,Kendaraan Khusus
412,20/12/2023,20,12,2023,Sampah,aa 9574 fa,1390,Kabupaten Wonosobo,Kendaraan Khusus
415,20/12/2023,20,12,2023,Sampah,aa 9577 fa,1620,Kabupaten Wonosobo,Kendaraan Khusus
417,20/12/2023,20,12,2023,Sampah,aa 9579 fa,1180,Kabupaten Wonosobo,Kendaraan Khusus
418,20/12/2023,20,12,2023,Sampah,ab 9699 we,1345,Kabupaten Gunungkidul,Kendaraan Khusus
420,20/12/2023,20,12,2023,Sampah,aa 1737 jh,805,Kabupaten Kebumen,Mobil Pribadi
423,20/12/2023,20,12,2023,Sampah,aa 9873 da,300,Kabupaten Kebumen,Kendaraan Khusus
426,20/12/2023,20,12,2023,Sampah,aa 1737 jh,375,Kabupaten Kebumen,Mobil Pribadi
427,20/12/2023,20,12,2023,Sampah,aa 9574 fa,320,Kabupaten Wonosobo,Kendaraan Khusus
429,20/12/2023,20,12,2023,Sampah,aa 9849 da,230,Kabupaten Kebumen,Kendaraan Khusus
432,20/12/2023,20,12,2023,Sampah,aa 9578 fa,1480,Kabupaten Wonosobo,Kendaraan Khusus
433,20/12/2023,20,12,2023,Sampah,aa 9582 fa,580,Kabupaten Wonosobo,Kendaraan Khusus
438,20/12/2023,20,12,2023,Sampah,aa 9568 fa,960,Kabupaten Wonosobo,Kendaraan Khusus
443,20/12/2023,20,12,2023,Sampah,aa 9538 ha,3340,Kota Magelang,Kendaraan Khusus
445,20/12/2023,20,12,2023,Sampah,aa 9571 fa,910,Kabupaten Wonosobo,Kendaraan Khusus
450,20/12/2023,20,12,2023,Sampah,aa 1734 ah,100,Kota Magelang,Mobil Pribadi
451,20/12/2023,20,12,2023,Sampah,aa 9549 ha,3880,Kota Magelang,Kendaraan Khusus
452,20/12/2023,20,12,2023,Sampah,aa 9846 da,270,Kabupaten Kebumen,Kendaraan Khusus
454,20/12/2023,20,12,2023,Sampah,aa 9569 ga,580,Kabupaten Magelang,Kendaraan Khusus
462,19/12/2023,19,12,2023,Sampah,ab 9699 we,1395,Kabupaten Gunungkidul,Kendaraan Khusus
466,19/12/2023,19,12,2023,Sampah,aa 9574 fa,470,Kabupaten Wonosobo,Kendaraan Khusus
467,19/12/2023,19,12,2023,Sampah,aa 1811 tt,50,Kabupaten Magelang,Mobil Pribadi
471,19/12/2023,19,12,2023,Sampah,aa 9569 ga,480,Kabupaten Magelang,Kendaraan Khusus
472,19/12/2023,19,12,2023,Sampah,aa 9846 da,270,Kabupaten Kebumen,Kendaraan Khusus
473,19/12/2023,19,12,2023,Sampah,aa 9538 ha,910,Kota Magelang,Kendaraan Khusus
474,19/12/2023,19,12,2023,Sampah,aa 9580 fa,800,Kabupaten Wonosobo,Kendaraan Khusus
475,19/12/2023,19,12,2023,Sampah,aa 9578 fa,1460,Kabupaten Wonosobo,Kendaraan Khusus
477,19/12/2023,19,12,2023,Sampah,aa 9537 ha,1040,Kota Magelang,Kendaraan Khusus
478,19/12/2023,19,12,2023,Sampah,aa 9536 ha,710,Kota Magelang,Kendaraan Khusus
479,19/12/2023,19,12,2023,Sampah,aa 1737 jh,185,Kabupaten Kebumen,Mobil Pribadi
480,19/12/2023,19,12,2023,Sampah,aa 9577 fa,980,Kabupaten Wonosobo,Kendaraan Khusus
481,19/12/2023,19,12,2023,Sampah,aa 9530 kh,2120,Kabupaten Magelang,Kendaraan Khusus
483,19/12/2023,19,12,2023,Sampah,aa 9849 da,310,Kabupaten Kebumen,Kendaraan Khusus
484,19/12/2023,19,12,2023,Sampah,aa 1756 qh,355,Kabupaten Purworejo,Mobil Pribadi
485,19/12/2023,19,12,2023,Sampah,aa 9531 ba,700,Kabupaten Magelang,Kendaraan Khusus
487,19/12/2023,19,12,2023,Sampah,aa 9568 fa,1150,Kabupaten Wonosobo,Kendaraan Khusus
491,19/12/2023,19,12,2023,Sampah,aa 9582 fa,830,Kabupaten Wonosobo,Kendaraan Khusus
496,19/12/2023,19,12,2023,Sampah,aa 9848 da,290,Kabupaten Kebumen,Kendaraan Khusus
497,19/12/2023,19,12,2023,Sampah,aa 9873 da,260,Kabupaten Kebumen,Kendaraan Khusus
500,19/12/2023,19,12,2023,Sampah,aa 9569 ga,450,Kabupaten Magelang,Kendaraan Khusus
503,19/12/2023,19,12,2023,Sampah,aa 9572 fa,200,Kabupaten Wonosobo,Kendaraan Khusus
505,19/12/2023,19,12,2023,Sampah,aa 9538 ha,3810,Kota Magelang,Kendaraan Khusus
506,19/12/2023,19,12,2023,Sampah,aa 9876 da,290,Kabupaten Kebumen,Kendaraan Khusus
508,19/12/2023,19,12,2023,Sampah,aa 9531 ba,220,Kabupaten Magelang,Kendaraan Khusus
511,19/12/2023,19,12,2023,Sampah,aa 9571 fa,480,Kabupaten Wonosobo,Kendaraan Khusus
522,18/12/2023,18,12,2023,Sampah,aa 9532 da,540,Kabupaten Kebumen,Kendaraan Khusus
523,18/12/2023,18,12,2023,Sampah,aa 9574 fa,1160,Kabupaten Wonosobo,Kendaraan Khusus
526,18/12/2023,18,12,2023,Sampah,aa 9569 ga,270,Kabupaten Magelang,Kendaraan Khusus
527,18/12/2023,18,12,2023,Sampah,aa 9846 da,290,Kabupaten Kebumen,Kendaraan Khusus
529,18/12/2023,18,12,2023,Sampah,aa 1737 jh,695,Kabupaten Kebumen,Mobil Pribadi
530,18/12/2023,18,12,2023,Sampah,aa 9580 fa,790,Kabupaten Wonosobo,Kendaraan Khusus
532,18/12/2023,18,12,2023,Sampah,ab 9699 we,1275,Kabupaten Gunungkidul,Kendaraan Khusus
533,18/12/2023,18,12,2023,Sampah,aa 9537 ha,1040,Kota Magelang,Kendaraan Khusus
534,18/12/2023,18,12,2023,Sampah,aa 9536 ha,530,Kota Magelang,Kendaraan Khusus
535,18/12/2023,18,12,2023,Sampah,aa 9577 fa,1480,Kabupaten Wonosobo,Kendaraan Khusus
538,18/12/2023,18,12,2023,Sampah,aa 9849 da,290,Kabupaten Kebumen,Kendaraan Khusus
539,18/12/2023,18,12,2023,Sampah,aa 9530 kh,2060,Kabupaten Magelang,Kendaraan Khusus
541,18/12/2023,18,12,2023,Sampah,aa 9579 fa,810,Kabupaten Wonosobo,Kendaraan Khusus
543,18/12/2023,18,12,2023,Sampah,aa 9876 da,350,Kabupaten Kebumen,Kendaraan Khusus
544,18/12/2023,18,12,2023,Sampah,aa 9569 ga,380,Kabupaten Magelang,Kendaraan Khusus
547,18/12/2023,18,12,2023,Sampah,aa 9582 fa,780,Kabupaten Wonosobo,Kendaraan Khusus
550,18/12/2023,18,12,2023,Sampah,aa 9571 fa,640,Kabupaten Wonosobo,Kendaraan Khusus
552,18/12/2023,18,12,2023,Sampah,aa 9568 fa,1070,Kabupaten Wonosobo,Kendaraan Khusus
556,18/12/2023,18,12,2023,Sampah,aa 9578 fa,1650,Kabupaten Wonosobo,Kendaraan Khusus
557,18/12/2023,18,12,2023,Sampah,aa 9538 ha,3790,Kota Magelang,Kendaraan Khusus
559,18/12/2023,18,12,2023,Sampah,aa 9848 da,320,Kabupaten Kebumen,Kendaraan Khusus
576,17/12/2023,17,12,2023,Sampah,aa 9574 fa,430,Kabupaten Wonosobo,Kendaraan Khusus
579,17/12/2023,17,12,2023,Sampah,aa 9530 kh,2590,Kabupaten Magelang,Kendaraan Khusus
585,17/12/2023,17,12,2023,Sampah,aa 9582 fa,1110,Kabupaten Wonosobo,Kendaraan Khusus
586,17/12/2023,17,12,2023,Sampah,aa 9549 ha,4030,Kota Magelang,Kendaraan Khusus
587,17/12/2023,17,12,2023,Sampah,aa 9538 ha,3850,Kota Magelang,Kendaraan Khusus
590,17/12/2023,17,12,2023,Sampah,aa 9568 fa,620,Kabupaten Wonosobo,Kendaraan Khusus
593,17/12/2023,17,12,2023,Sampah,aa 9829 da,310,Kabupaten Kebumen,Kendaraan Khusus
598,16/12/2023,16,12,2023,Sampah,ab 9699 we,1085,Kabupaten Gunungkidul,Kendaraan Khusus
600,16/12/2023,16,12,2023,Sampah,aa 9574 fa,420,Kabupaten Wonosobo,Kendaraan Khusus
603,16/12/2023,16,12,2023,Sampah,aa 9577 fa,1950,Kabupaten Wonosobo,Kendaraan Khusus
604,16/12/2023,16,12,2023,Sampah,aa 9578 fa,1660,Kabupaten Wonosobo,Kendaraan Khusus
606,16/12/2023,16,12,2023,Sampah,aa 9530 kh,2680,Kabupaten Magelang,Kendaraan Khusus
608,16/12/2023,16,12,2023,Sampah,aa 9873 da,420,Kabupaten Kebumen,Kendaraan Khusus
609,16/12/2023,16,12,2023,Sampah,aa 9568 fa,1620,Kabupaten Wonosobo,Kendaraan Khusus
612,16/12/2023,16,12,2023,Sampah,aa 9569 fa,620,Kabupaten Wonosobo,Kendaraan Khusus
614,16/12/2023,16,12,2023,Sampah,aa 9538 ha,2350,Kota Magelang,Kendaraan Khusus
623,16/12/2023,16,12,2023,Sampah,aa 9829 da,520,Kabupaten Kebumen,Kendaraan Khusus
624,16/12/2023,16,12,2023,Sampah,aa 9582 fa,300,Kabupaten Wonosobo,Kendaraan Khusus
630,15/12/2023,15,12,2023,Sampah,ab 9699 we,995,Kabupaten Gunungkidul,Kendaraan Khusus
636,15/12/2023,15,12,2023,Sampah,aa 9574 fa,410,Kabupaten Wonosobo,Kendaraan Khusus
639,15/12/2023,15,12,2023,Sampah,aa 9549 ha,2030,Kota Magelang,Kendaraan Khusus
640,15/12/2023,15,12,2023,Sampah,aa 8756 a,475,Kota Magelang,Mobil Barang
641,15/12/2023,15,12,2023,Sampah,aa 9577 fa,1140,Kabupaten Wonosobo,Kendaraan Khusus
642,15/12/2023,15,12,2023,Sampah,aa 9580 fa,700,Kabupaten Wonosobo,Kendaraan Khusus
643,15/12/2023,15,12,2023,Sampah,aa 9873 da,440,Kabupaten Kebumen,Kendaraan Khusus
644,15/12/2023,15,12,2023,Sampah,aa 9578 fa,1640,Kabupaten Wonosobo,Kendaraan Khusus
648,15/12/2023,15,12,2023,Sampah,aa 9530 kh,2170,Kabupaten Magelang,Kendaraan Khusus
651,15/12/2023,15,12,2023,Sampah,aa 9847 da,330,Kabupaten Kebumen,Kendaraan Khusus
652,15/12/2023,15,12,2023,Sampah,aa 9537 ha,640,Kota Magelang,Kendaraan Khusus
654,15/12/2023,15,12,2023,Sampah,aa 9847 da,260,Kabupaten Kebumen,Kendaraan Khusus
658,15/12/2023,15,12,2023,Sampah,aa 9571 fa,1090,Kabupaten Wonosobo,Kendaraan Khusus
660,15/12/2023,15,12,2023,Sampah,aa 1737 jh,879,Kabupaten Kebumen,Mobil Pribadi
673,14/12/2023,14,12,2023,Sampah,ab 9699 we,1575,Kabupaten Gunungkidul,Kendaraan Khusus
674,14/12/2023,14,12,2023,Sampah,aa 9577 fa,780,Kabupaten Wonosobo,Kendaraan Khusus
675,14/12/2023,14,12,2023,Sampah,aa 9574 fa,390,Kabupaten Wonosobo,Kendaraan Khusus
